date,max,min
2016.02.21vas?rnap ,11,7
2016.02.22h?tfo ,14,8
2016.02.23kedd ,13,7
2016.02.24szerda ,8,1
2016.02.25cs?t?rt?k ,7,-2
2016.02.26p?ntek ,7,0
2016.02.27szombat ,7,-2
2016.02.28vas?rnap ,12,7
2016.02.29h?tfo ,13,8
2016.03.01kedd ,10,2
2016.03.02szerda ,10,4
2016.03.03cs?t?rt?k ,9,4
2016.03.04p?ntek ,13,3
2016.03.05szombat ,13,7
2016.03.06vas?rnap ,13,6
2016.03.07h?tfo ,11,5
2016.03.08kedd ,12,3
2016.03.09szerda ,13,5
2016.03.10cs?t?rt?k ,14,8
2016.03.11p?ntek ,14,6
2016.03.12szombat ,12,6
2016.03.13vas?rnap ,13,2
2016.03.14h?tfo ,10,3
2016.03.15kedd ,6,3
2016.03.16szerda ,10,5
2016.03.17cs?t?rt?k ,13,5
2016.03.18p?ntek ,13,5
2016.03.19szombat ,11,2
2016.03.20vas?rnap ,13,5
2016.03.21h?tfo ,12,4
2016.03.22kedd ,12,4
2016.03.23szerda ,11,5
2016.03.24cs?t?rt?k ,12,3
2016.03.25p?ntek ,11,6
2016.03.26szombat ,13,6
2016.03.27vas?rnap ,14,5
2016.03.28h?tfo ,14,8
2016.03.29kedd ,16,6
2016.03.30szerda ,19,10
2016.03.31cs?t?rt?k ,21,12
2016.04.01p?ntek ,22,9
2016.04.02szombat ,15,6
2016.04.03vas?rnap ,21,12
2016.04.04h?tfo ,24,12
2016.04.05kedd ,25,13
2016.04.06szerda ,24,12
2016.04.07cs?t?rt?k ,25,14
2016.04.08p?ntek ,23,14
2016.04.09szombat ,20,12
2016.04.10vas?rnap ,19,11
2016.04.11h?tfo ,20,12
2016.04.12kedd ,22,12
2016.04.13szerda ,23,11
2016.04.14cs?t?rt?k ,17,8
2016.04.15p?ntek ,20,10
2016.04.16szombat ,23,12
2016.04.17vas?rnap ,25,12
2016.04.18h?tfo ,23,9
2016.04.19kedd ,19,7
2016.04.20szerda ,15,7
2016.04.21cs?t?rt?k ,20,10
2016.04.22p?ntek ,22,9
2016.04.23szombat ,21,11
2016.04.24vas?rnap ,11,4
2016.04.25h?tfo ,12,2
2016.04.26kedd ,15,6
2016.04.27szerda ,13,2
2016.04.28cs?t?rt?k ,16,8
2016.04.29p?ntek ,20,10
2016.04.30szombat ,21,10
2016.05.01vas?rnap ,20,11
2016.05.02h?tfo ,22,12
2016.05.03kedd ,20,11
2016.05.04szerda ,21,10
2016.05.05cs?t?rt?k ,23,10
2016.05.06p?ntek ,24,11
2016.05.07szombat ,21,11
2016.05.08vas?rnap ,21,9
2016.05.09h?tfo ,23,10
2016.05.10kedd ,23,12
2016.05.11szerda ,21,12
2016.05.12cs?t?rt?k ,20,11
2016.05.13p?ntek ,21,10
2016.05.14szombat ,20,10
2016.05.15vas?rnap ,15,5
2016.05.16h?tfo ,15,5
2016.05.17kedd ,16,7
2016.05.18szerda ,20,8
2016.05.19cs?t?rt?k ,21,11
2016.05.20p?ntek ,24,12
2016.05.21szombat ,26,13
2016.05.22vas?rnap ,26,15
2016.05.23h?tfo ,28,14
2016.05.24kedd ,22,12
2016.05.25szerda ,24,13
2016.05.26cs?t?rt?k ,26,14
2016.05.27p?ntek ,29,15
2016.05.28szombat ,29,17
2016.05.29vas?rnap ,29,17
2016.05.30h?tfo ,26,13
2016.05.31kedd ,25,12
2016.06.01szerda ,26,14
2016.06.02cs?t?rt?k ,24,12
2016.06.03p?ntek ,28,15
2016.06.04szombat ,28,15
2016.06.05vas?rnap ,28,15
2016.06.06h?tfo ,28,12
2016.06.07kedd ,24,11
2016.06.08szerda ,25,12
2016.06.09cs?t?rt?k ,26,14
2016.06.10p?ntek ,24,14
2016.06.11szombat ,26,15
2016.06.12vas?rnap ,21,15
2016.06.13h?tfo ,27,14
2016.06.14kedd ,25,14
2016.06.15szerda ,23,13
2016.06.16cs?t?rt?k ,30,20
2016.06.17p?ntek ,28,14
